dataset_id,window_seconds,half_life_seconds,lambda_value,score_index,source_window_end_index,t2_score
N3,5,10,0.066967,0,71,2.20487158661899
N3,5,10,0.066967,1,72,1.2420510180467486
N3,5,10,0.066967,2,73,0.411259281856576
N3,5,10,0.066967,3,74,0.30068787220028337
N3,5,10,0.066967,4,75,0.7707017254854465
N3,5,10,0.066967,5,76,1.7539075629221323
N3,5,10,0.066967,6,77,2.218888316179481
N3,5,10,0.066967,7,78,1.886747851353993
N3,5,10,0.066967,8,79,1.653587647981634
N3,5,10,0.066967,9,80,1.5148380690572978
N3,5,10,0.066967,10,81,1.4503068141940105
N3,5,10,0.066967,11,82,1.308385160250186
N3,5,10,0.066967,12,83,1.443678362687822
N3,5,10,0.066967,13,84,1.7064691875894906
N3,5,10,0.066967,14,85,2.0554055621215825
N3,5,10,0.066967,15,86,2.4450918811270492
N3,5,10,0.066967,16,87,2.893431692825086
N3,5,10,0.066967,17,88,2.8848251554432798
N3,5,10,0.066967,18,89,2.0312879593981723
N3,5,10,0.066967,19,90,1.6484847463377665
N3,5,10,0.066967,20,91,1.3647446329425006
N3,5,10,0.066967,21,92,1.4138460700502435
N3,5,10,0.066967,22,93,1.589685740730897
N3,5,10,0.066967,23,94,0.8672174207573276
N3,5,10,0.066967,24,95,0.44567764115834335
N3,5,10,0.066967,25,96,0.3363539954195376
N3,5,10,0.066967,26,97,0.41396672551262387
N3,5,10,0.066967,27,98,0.7686805436061093
N3,5,10,0.066967,28,99,1.1259970379347455
N3,5,10,0.066967,29,100,1.581979409195009
N3,5,10,0.066967,30,101,2.100200233302828
N3,5,10,0.066967,31,102,2.6628385602683426
N3,5,10,0.066967,32,103,2.2338618842137192
N3,5,10,0.066967,33,104,2.2190632079366006
N3,5,10,0.066967,34,105,1.281809200850648
N3,5,10,0.066967,35,106,1.0456059678939542
N3,5,10,0.066967,36,107,0.7548436207089674
N3,5,10,0.066967,37,108,1.4381874647554551
N3,5,10,0.066967,38,109,2.8994162305509903
N3,5,10,0.066967,39,110,3.424739958877506
N3,5,10,0.066967,40,111,4.570861083478414
N3,5,10,0.066967,41,112,3.0318923393055233
N3,5,10,0.066967,42,113,2.0454246269718075
